Timestamp,ViewerBot,MapID,MapName,Player,ItemName,Quantity,Rarity
08:58 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Beastmaster Harness,1,White
08:58 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Stone Summit Badge,1,White
08:58 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Stone Summit Badge,1,White
08:58 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Dwarven Armor,1,White
08:58 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Raven Staff,1,White
2026-02-20 20:59:17,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,111,Currency
08:59 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Dwarven Scout Armor,1,White
08:59 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Titan Armor,1,White
08:59 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Earth Wand,1,White
08:59 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Dwarven Armor,1,White
08:59 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Falchion,1,Purple
2026-02-20 21:02:42,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
09:02 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Titan Armor,1,White
09:02 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Jeweled Chakram,1,White
09:04 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Molten Claw,1,White
2026-02-20 21:04:54,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,105,Currency
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Molten Claw,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Titan Armor,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Shortbow,1,Gold
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Molten Claw,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Deadly Cesta,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Deadly Cesta,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Molten Claw,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Titan Armor,1,White
09:05 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Molten Claw,1,White
2026-02-20 21:06:11,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Jeweled Staff,1,White
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Accursed Staff,1,White
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Accursed Staff,1,Blue
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Jeweled Chakram,1,Purple
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Battlepick,1,Gold
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Superior Identification Kit,1,Purple
09:06 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Smiting Rod,1,Gold
09:07 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Fellblade,1,Gold
