Timestamp,ViewerBot,MapID,MapName,Player,ItemName,Quantity,Rarity
2026-02-22 03:05:27,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Stone Summit Badge,1,White,831834550001,"Stone Summit Badge
Value: 8 gd",1194
2026-02-22 03:05:28,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Accursed Staff,1,Blue,831834bb0001,"Accursed Staff
Value: 51 goldamage: 11-21
Requires 11 Curs
Damage: 11-21
Requires 11 Cues",336
2026-02-22 03:05:28,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Dwarven Armor,1,White,831837480001,"Dwarven Armor
Value: 50 gold",340
2026-02-22 03:05:29,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Dwarven Robes,1,Purple,831838960002,"Dwarven Robes
Value: 56 gold",307
2026-02-22 03:05:35,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Raven Staff,1,White,831853a50011,"Raven Staff
Value: 54 gold
Dage: 11-21
Requires 12 DominatnMagic
Damage: 11-21
Requires2 DominationMagic",347
2026-02-22 03:06:42,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency,,,0
2026-02-22 03:06:43,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,113,Currency,,,0
2026-02-22 03:06:43,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Titan Armor,1,White,83195d070001,"Titan Armor
Value: 54 gold",491
2026-02-22 03:06:43,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Molten Claw,1,White,83195d220003,"Molten Claw
Value: 30 gold",485
2026-02-22 03:08:43,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,102,Currency,,,0
2026-02-22 03:08:44,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Jeweled Chakram,1,White,831b34e90002,"Jeweled Chakram
Value: 51 golRequires 9 IllusionMagic
Reques 9 IllusionMagic",497
2026-02-22 03:08:44,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Titan Armor,1,Purple,831b35660001,"Titan Armor
Value: 51 gold",500
2026-02-22 03:09:20,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Fire Staff,1,Purple,831bc0750002,"Fire Staff
Value: 56 gold
Dame: 11-22
Requires 11 FireMagiDamage: 11-22
Requires 11 Firagic",565
2026-02-22 03:09:26,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Fire Wand,1,Purple,831bd9530003,"Fire Wand
Value: 53 gold
Dama: 11-22
Requires 13 FireMagicamage: 11-22
Requires 13 Firegic",566
2026-02-22 03:09:32,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Titan Armor,1,Purple,831bf1d20012,"Titan Armor
Value: 51 gold",567
2026-02-22 03:09:47,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Fire Wand,1,Purple,831c2a900004,"Fire Wand
Value: 52 gold
Dama: 11-22
Requires 13 FireMagicamage: 11-22
Requires 13 Firegic",568
2026-02-22 03:09:54,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Inscribed Chakram,1,Gold,831c451d0002,"Inscribed Chakram
Value: 51 gd
Requires 12 DominationMagicequires 12 DominationMagic",569
2026-02-22 03:10:26,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Elite Mesmer Tome,1,Tomes,831cc41c0001,Elite Mesmer Tome,570
2026-02-22 03:10:52,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Fire Staff,1,Purple,831d282f0001,"Fire Staff
Value: 53 gold",571
2026-02-22 03:11:10,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Titan Armor,1,Gold,831d6e390002,"Titan Armor
Value: 52 gold",572
